Event,Card Colour,Time,Conversion,For
Penalty,,80,Missed,benetton
Substitution,,76,,benetton
Substitution,,72,,benetton
Substitution,,72,,benetton
Penalty,,68,Converted,benetton
Substitution,,60,,benetton
Substitution,,55,,benetton
Try,,51,Missed,benetton
Try,,26,Missed,benetton
Substitution,,20,,benetton
Try,,14,Converted,benetton
Penalty,,79,Missed,glasgow warriors
Substitution,,71,,glasgow warriors
Penalty,,63,Converted,glasgow warriors
Substitution,,62,,glasgow warriors
Substitution,,55,,glasgow warriors
Substitution,,55,,glasgow warriors
Substitution,,54,,glasgow warriors
Try,,39,Converted,glasgow warriors
Try,,23,Converted,glasgow warriors
