Event,Card Colour,Time,Conversion,For
Substitution,,75,,benetton
Substitution,,72,,benetton
Substitution,,66,,benetton
Substitution,,64,,benetton
Substitution,,60,,benetton
Substitution,,60,,benetton
Substitution,,54,,benetton
Substitution,,53,,benetton
Try,,52,Converted,benetton
Substitution,,45,,benetton
Substitution,,45,,benetton
Try,,22,Converted,benetton
Try,,16,Converted,benetton
Try,,4,Converted,benetton
Substitution,,75,,southern kings
Substitution,,75,,southern kings
Substitution,,75,,southern kings
Substitution,,75,,southern kings
Substitution,,70,,southern kings
Substitution,,56,,southern kings
Substitution,,53,,southern kings
Card,Red,52,,southern kings
Try,,30,Missed,southern kings
Card,Yellow,22,,southern kings
Substitution,,21,,southern kings
Substitution,,12,,southern kings
Card,Yellow,11,,southern kings
