Event,Card Colour,Time,Conversion,For
Substitution,,73,,benetton
Substitution,,71,,benetton
Substitution,,71,,benetton
Substitution,,68,,benetton
Penalty,,64,Converted,benetton
Substitution,,60,,benetton
Card,Yellow,54,,benetton
Substitution,,49,,benetton
Substitution,,49,,benetton
Substitution,,33,,benetton
Try,,3,Converted,benetton
Substitution,,74,,ulster
Substitution,,64,,ulster
Substitution,,64,,ulster
Substitution,,64,,ulster
Substitution,,64,,ulster
Try,,55,Converted,ulster
Try,,45,Missed,ulster
Penalty,,30,Converted,ulster
