Event,Card Colour,Time,Conversion,For
Try,,69,Converted,cardiff blues
Try,,64,Converted,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,52,,cardiff blues
Substitution,,52,,cardiff blues
Substitution,,52,,cardiff blues
Penalty,,38,Scored,cardiff blues
Try,,25,Converted,cardiff blues
Penalty,,7,Missed,cardiff blues
Substitution,,62,,cheetahs
Substitution,,62,,cheetahs
Try,,58,Converted,cheetahs
Substitution,,57,,cheetahs
Substitution,,57,,cheetahs
Substitution,,52,,cheetahs
Try,,49,Converted,cheetahs
Substitution,,43,,cheetahs
Substitution,,41,,cheetahs
Try,,18,Converted,cheetahs
Penalty,,5,Missed,cheetahs
