Event,Card Colour,Time,Conversion,For
Substitution,,78,,cardiff blues
Try,,76,Converted,cardiff blues
Substitution,,73,,cardiff blues
Substitution,,73,,cardiff blues
Penalty,,71,Converted,cardiff blues
Substitution,,68,,cardiff blues
Substitution,,65,,cardiff blues
Penalty,,64,Converted,cardiff blues
Substitution,,60,,cardiff blues
Penalty,,52,Converted,cardiff blues
Try,,44,Converted,cardiff blues
Substitution,,29,,cardiff blues
Substitution,,19,,cardiff blues
Try,,17,Converted,cardiff blues
Try,,7,Converted,cardiff blues
Substitution,,75,,munster
Substitution,,74,,munster
Substitution,,73,,munster
Substitution,,65,,munster
Substitution,,60,,munster
Substitution,,53,,munster
Penalty,,23,Converted,munster
Try,,13,Missed,munster
Try,,10,Missed,munster
