Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,41
Away Score,,,,,17
Card,Yellow,84,,cardiff blues
Penalty,,75,Converted,cardiff blues
Substitution,,73,,cardiff blues
Substitution,,68,,cardiff blues
Card,Yellow,65,,cardiff blues
Substitution,,61,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,55,,cardiff blues
Substitution,,55,,cardiff blues
Substitution,,49,,cardiff blues
Try,,39,Converted,cardiff blues
Try,,33,Converted,cardiff blues
Try,,28,Converted,cardiff blues
Try,,17,Converted,cardiff blues
Try,,14,Converted,cardiff blues
Penalty,,9,Converted,cardiff blues
Substitution,,2,,cardiff blues
Try,,77,Missed,scarlets
Substitution,,73,,scarlets
Substitution,,68,,scarlets
Try,,66,Missed,scarlets
Try,,53,Converted,scarlets
Substitution,,41,,scarlets
Substitution,,41,,scarlets
Substitution,,41,,scarlets
Substitution,,41,,scarlets
Penalty,,5,Missed,scarlets
