Event,Card Colour,Time,Conversion,For
Try,,80,Missed,cardiff blues
Substitution,,71,,cardiff blues
Substitution,,68,,cardiff blues
Try,,68,Converted,cardiff blues
Substitution,,65,,cardiff blues
Try,,65,Converted,cardiff blues
Substitution,,60,,cardiff blues
Substitution,,58,,cardiff blues
Substitution,,58,,cardiff blues
Try,,47,Converted,cardiff blues
Penalty,,27,Scored,cardiff blues
Try,,16,Missed,cardiff blues
Substitution,,9,,cardiff blues
Penalty,,3,Scored,cardiff blues
Substitution,,71,,zebre
Substitution,,64,,zebre
Substitution,,63,,zebre
Substitution,,62,,zebre
Substitution,,57,,zebre
Substitution,,54,,zebre
Substitution,,54,,zebre
Penalty,,5,Missed,zebre
