Event,Card Colour,Time,Conversion,For
Substitution,,79,,cheetahs
Substitution,,74,,cheetahs
Substitution,,74,,cheetahs
Substitution,,74,,cheetahs
Substitution,,72,,cheetahs
Substitution,,59,,cheetahs
Substitution,,47,,cheetahs
Substitution,,47,,cheetahs
Substitution,,41,,cheetahs
Substitution,,41,,cheetahs
Try,,38,Converted,cheetahs
Substitution,,37,,cheetahs
Substitution,,36,,cheetahs
Try,,10,Converted,cheetahs
Try,,7,Converted,cheetahs
Substitution,,73,,cardiff blues
Try,,64,Converted,cardiff blues
Substitution,,56,,cardiff blues
Substitution,,54,,cardiff blues
Substitution,,52,,cardiff blues
Substitution,,51,,cardiff blues
Substitution,,51,,cardiff blues
Penalty,,21,Converted,cardiff blues
