Event,Card Colour,Time,Conversion,For
Try,,72,Converted,cheetahs
Substitution,,65,,cheetahs
Substitution,,60,,cheetahs
Substitution,,52,,cheetahs
Substitution,,52,,cheetahs
Substitution,,37,,cheetahs
Try,,36,Missed,cheetahs
Try,,31,Missed,cheetahs
Substitution,,27,,cheetahs
Substitution,,25,,cheetahs
Substitution,,65,,connacht
Penalty,,65,Scored,connacht
Penalty,,57,Scored,connacht
Substitution,,53,,connacht
Substitution,,53,,connacht
Substitution,,50,,connacht
Try,,26,Missed,connacht
Penalty,,22,Scored,connacht
Try,,7,Converted,connacht
