Event,Card Colour,Time,Conversion,For
Substitution,,69,,cheetahs
Substitution,,69,,cheetahs
Substitution,,69,,cheetahs
Substitution,,56,,cheetahs
Substitution,,56,,cheetahs
Substitution,,56,,cheetahs
Try,,54,Missed,cheetahs
Substitution,,47,,cheetahs
Substitution,,47,,cheetahs
Card,Yellow,41,,cheetahs
Try,,29,Converted,cheetahs
Substitution,,15,,cheetahs
Try,,11,Converted,cheetahs
Substitution,,10,,cheetahs
Try,,8,Missed,cheetahs
Try,,75,Converted,glasgow warriors
Substitution,,69,,glasgow warriors
Substitution,,66,,glasgow warriors
Try,,64,Converted,glasgow warriors
Penalty,,61,Converted,glasgow warriors
Substitution,,57,,glasgow warriors
Substitution,,52,,glasgow warriors
Substitution,,52,,glasgow warriors
Substitution,,52,,glasgow warriors
Try,,50,Converted,glasgow warriors
Substitution,,47,,glasgow warriors
Try,,45,Converted,glasgow warriors
Try,,42,Converted,glasgow warriors
Substitution,,41,,glasgow warriors
Try,,24,Converted,glasgow warriors
Card,Yellow,13,,glasgow warriors
Try,,1,Converted,glasgow warriors
