Event,Card Colour,Time,Conversion,For
Substitution,,70,,cheetahs
Substitution,,70,,cheetahs
Substitution,,70,,cheetahs
Substitution,,70,,cheetahs
Try,,63,Converted,cheetahs
Try,,57,Converted,cheetahs
Try,,51,Converted,cheetahs
Substitution,,47,,cheetahs
Substitution,,47,,cheetahs
Substitution,,35,,cheetahs
Try,,27,Missed,cheetahs
Substitution,,78,,munster
Penalty,,76,Scored,munster
Try,,68,Missed,munster
Substitution,,60,,munster
Substitution,,59,,munster
Substitution,,53,,munster
Substitution,,53,,munster
Substitution,,53,,munster
Substitution,,53,,munster
Substitution,,53,,munster
Try,,45,Converted,munster
Try,,38,Converted,munster
Card,Yellow,26,,munster
Try,,15,Missed,munster
Penalty,,10,Scored,munster
