Event,Card Colour,Time,Conversion,For
Penalty,,78,Converted,cheetahs
Try,,74,Converted,cheetahs
Card,Yellow,73,,cheetahs
Substitution,,71,,cheetahs
Substitution,,70,,cheetahs
Substitution,,70,,cheetahs
Try,,63,Converted,cheetahs
Substitution,,61,,cheetahs
Substitution,,59,,cheetahs
Substitution,,59,,cheetahs
Try,,52,Missed,cheetahs
Try,,37,Converted,cheetahs
Penalty,,18,Converted,cheetahs
Try,,1,Converted,cheetahs
Try,,80,Converted,ulster
Try,,73,Converted,ulster
Substitution,,69,,ulster
Try,,67,Missed,ulster
Substitution,,61,,ulster
Substitution,,61,,ulster
Substitution,,59,,ulster
Penalty,,55,Converted,ulster
Card,Yellow,51,,ulster
Substitution,,50,,ulster
Penalty,,45,Converted,ulster
Substitution,,24,,ulster
Try,,22,Converted,ulster
Substitution,,11,,ulster
Try,,4,Converted,ulster
