Event,Card Colour,Time,Conversion,For
Substitution,,72,,connacht
Try,,70,Converted,connacht
Substitution,,66,,connacht
Substitution,,65,,connacht
Substitution,,65,,connacht
Substitution,,56,,connacht
Substitution,,51,,connacht
Substitution,,47,,connacht
Try,,39,Converted,connacht
Try,,29,Converted,connacht
Try,,27,Missed,connacht
Try,,23,Converted,connacht
Substitution,,19,,connacht
Try,,85,Converted,dragons
Substitution,,75,,dragons
Substitution,,66,,dragons
Try,,56,Missed,dragons
Substitution,,55,,dragons
Substitution,,41,,dragons
Substitution,,41,,dragons
