Event,Card Colour,Time,Conversion,For
Penalty,,81,Missed,connacht
Substitution,,74,,connacht
Substitution,,74,,connacht
Substitution,,66,,connacht
Penalty,,58,Missed,connacht
Substitution,,55,,connacht
Substitution,,52,,connacht
Substitution,,52,,connacht
Substitution,,47,,connacht
Penalty,,42,Scored,connacht
Penalty,,40,Scored,connacht
Penalty,,34,Scored,connacht
Try,,21,Converted,connacht
Try,,14,Converted,connacht
Substitution,,14,,connacht
Penalty,,11,Scored,connacht
Drop Goal,,73,,glasgow warriors
Try,,65,Converted,glasgow warriors
Substitution,,62,,glasgow warriors
Card,Yellow,57,,glasgow warriors
Substitution,,57,,glasgow warriors
Substitution,,55,,glasgow warriors
Substitution,,52,,glasgow warriors
Substitution,,51,,glasgow warriors
Substitution,,47,,glasgow warriors
Substitution,,47,,glasgow warriors
Try,,31,Missed,glasgow warriors
Try,,17,Converted,glasgow warriors
Try,,2,Missed,glasgow warriors
