Event,Card Colour,Time,Conversion,For
Substitution,,73,,connacht
Card,Red,69,,connacht
Substitution,,68,,connacht
Substitution,,65,,connacht
Substitution,,65,,connacht
Substitution,,61,,connacht
Substitution,,61,,connacht
Substitution,,54,,connacht
Substitution,,45,,connacht
Penalty,,2,Converted,connacht
Substitution,,74,,leinster
Substitution,,74,,leinster
Substitution,,70,,leinster
Substitution,,65,,leinster
Substitution,,56,,leinster
Substitution,,56,,leinster
Substitution,,56,,leinster
Try,,55,Converted,leinster
Try,,41,Converted,leinster
Penalty,,40,Converted,leinster
Penalty,,34,Converted,leinster
Substitution,,25,,leinster
