Event,Card Colour,Time,Conversion,For
Substitution,,78,,connacht
Try,,75,Converted,connacht
Penalty,,69,Converted,connacht
Substitution,,64,,connacht
Substitution,,64,,connacht
Substitution,,64,,connacht
Substitution,,64,,connacht
Substitution,,64,,connacht
Penalty,,62,Converted,connacht
Substitution,,53,,connacht
Penalty,,40,Converted,connacht
Try,,25,Converted,connacht
Penalty,,16,Converted,connacht
Try,,4,Converted,connacht
Substitution,,4,,connacht
Try,,72,Converted,scarlets
Substitution,,65,,scarlets
Substitution,,64,,scarlets
Substitution,,64,,scarlets
Substitution,,58,,scarlets
Substitution,,55,,scarlets
Substitution,,55,,scarlets
Substitution,,50,,scarlets
Try,,28,Converted,scarlets
Penalty,,20,Converted,scarlets
Penalty,,8,Converted,scarlets
Substitution,,4,,scarlets
