Event,Card Colour,Time,Conversion,For
Substitution,,76,,connacht
Substitution,,76,,connacht
Card,Yellow,66,,connacht
Substitution,,65,,connacht
Substitution,,65,,connacht
Substitution,,63,,connacht
Substitution,,62,,connacht
Substitution,,53,,connacht
Penalty,,47,Missed,connacht
Try,,43,Converted,connacht
Substitution,,41,,connacht
Try,,20,Converted,connacht
Try,,12,Converted,connacht
Substitution,,77,,ulster
Substitution,,77,,ulster
Try,,67,Missed,ulster
Substitution,,65,,ulster
Substitution,,59,,ulster
Substitution,,51,,ulster
Substitution,,48,,ulster
Substitution,,48,,ulster
Substitution,,45,,ulster
Substitution,,45,,ulster
Try,,32,Converted,ulster
