Event,Card Colour,Time,Conversion,For
Penalty,,77,Missed,dragons
Substitution,,72,,dragons
Penalty,,65,Converted,dragons
Substitution,,63,,dragons
Substitution,,57,,dragons
Try,,53,Missed,dragons
Substitution,,52,,dragons
Penalty,,45,Missed,dragons
Try,,24,Converted,dragons
Penalty,,10,Converted,dragons
Try,,67,Converted,edinburgh
Substitution,,63,,edinburgh
Substitution,,63,,edinburgh
Substitution,,61,,edinburgh
Substitution,,61,,edinburgh
Substitution,,59,,edinburgh
Substitution,,55,,edinburgh
Try,,40,Missed,edinburgh
