Event,Card Colour,Time,Conversion,For
Substitution,,75,,dragons
Substitution,,71,,dragons
Substitution,,68,,dragons
Try,,66,Converted,dragons
Penalty,,62,Converted,dragons
Substitution,,60,,dragons
Substitution,,49,,dragons
Substitution,,46,,dragons
Substitution,,46,,dragons
Penalty,,35,Missed,dragons
Card,Yellow,27,,dragons
Penalty,,22,Converted,dragons
Try,,15,Converted,dragons
Penalty,,10,Missed,dragons
Try,,4,Converted,dragons
Try,,79,Missed,southern kings
Substitution,,76,,southern kings
Substitution,,69,,southern kings
Substitution,,57,,southern kings
Substitution,,57,,southern kings
Substitution,,57,,southern kings
Try,,55,Converted,southern kings
Substitution,,49,,southern kings
Substitution,,49,,southern kings
Substitution,,49,,southern kings
Try,,32,Missed,southern kings
Try,,28,Missed,southern kings
