Event,Card Colour,Time,Conversion,For
Substitution,,68,,dragons
Substitution,,68,,dragons
Substitution,,68,,dragons
Card,Yellow,58,,dragons
Substitution,,52,,dragons
Substitution,,52,,dragons
Substitution,,52,,dragons
Substitution,,52,,dragons
Penalty,,44,Converted,dragons
Substitution,,41,,dragons
Try,,39,Missed,dragons
Penalty,,26,Missed,dragons
Try,,14,Missed,dragons
Penalty,,6,Converted,dragons
Substitution,,79,,zebre
Substitution,,72,,zebre
Substitution,,58,,zebre
Substitution,,58,,zebre
Substitution,,52,,zebre
Substitution,,52,,zebre
Substitution,,52,,zebre
Substitution,,52,,zebre
Try,,22,Missed,zebre
