Event,Card Colour,Time,Conversion,For
Card,Yellow,70,,edinburgh
Substitution,,62,,edinburgh
Substitution,,62,,edinburgh
Substitution,,57,,edinburgh
Substitution,,56,,edinburgh
Substitution,,56,,edinburgh
Substitution,,56,,edinburgh
Try,,48,Converted,edinburgh
Try,,35,Converted,edinburgh
Try,,20,Converted,edinburgh
Try,,17,Converted,edinburgh
Penalty,,6,Converted,edinburgh
Try,,71,Missed,benetton
Substitution,,69,,benetton
Substitution,,68,,benetton
Substitution,,62,,benetton
Try,,60,Missed,benetton
Substitution,,56,,benetton
Substitution,,56,,benetton
Substitution,,56,,benetton
Substitution,,53,,benetton
Try,,52,Missed,benetton
Substitution,,41,,benetton
Substitution,,40,,benetton
Try,,39,Converted,benetton
Substitution,,36,,benetton
Substitution,,33,,benetton
Try,,25,Missed,benetton
Penalty,,2,Converted,benetton
