Event,Card Colour,Time,Conversion,For
Substitution,,73,,edinburgh
Substitution,,72,,edinburgh
Substitution,,70,,edinburgh
Substitution,,65,,edinburgh
Substitution,,65,,edinburgh
Substitution,,62,,edinburgh
Try,,60,Converted,edinburgh
Substitution,,58,,edinburgh
Substitution,,56,,edinburgh
Penalty,,55,Converted,edinburgh
Penalty,,21,Converted,edinburgh
Try,,12,Converted,edinburgh
Penalty,,9,Converted,edinburgh
Substitution,,68,,glasgow warriors
Substitution,,65,,glasgow warriors
Substitution,,62,,glasgow warriors
Substitution,,62,,glasgow warriors
Substitution,,62,,glasgow warriors
Substitution,,58,,glasgow warriors
Substitution,,58,,glasgow warriors
Card,Yellow,54,,glasgow warriors
Substitution,,54,,glasgow warriors
Try,,36,Converted,glasgow warriors
