Event,Card Colour,Time,Conversion,For
Substitution,,78,,edinburgh
Try,,77,Converted,edinburgh
Substitution,,69,,edinburgh
Substitution,,63,,edinburgh
Try,,58,Converted,edinburgh
Card,Yellow,48,,edinburgh
Substitution,,41,,edinburgh
Substitution,,40,,edinburgh
Penalty,,30,Missed,edinburgh
Try,,29,Converted,edinburgh
Try,,22,Missed,edinburgh
Try,,9,Converted,edinburgh
Card,Yellow,74,,scarlets
Substitution,,69,,scarlets
Substitution,,69,,scarlets
Substitution,,68,,scarlets
Substitution,,68,,scarlets
Substitution,,63,,scarlets
Try,,49,Converted,scarlets
Try,,39,Converted,scarlets
Try,,15,Converted,scarlets
Substitution,,12,,scarlets
Penalty,,11,Missed,scarlets
