Event,Card Colour,Time,Conversion,For
Substitution,,69,,edinburgh
Substitution,,66,,edinburgh
Try,,62,Converted,edinburgh
Substitution,,58,,edinburgh
Substitution,,56,,edinburgh
Substitution,,53,,edinburgh
Substitution,,47,,edinburgh
Try,,45,Missed,edinburgh
Try,,39,Converted,edinburgh
Try,,10,Missed,edinburgh
Try,,6,Converted,edinburgh
Try,,3,Converted,edinburgh
Substitution,,77,,southern kings
Substitution,,77,,southern kings
Substitution,,66,,southern kings
Substitution,,66,,southern kings
Substitution,,66,,southern kings
Substitution,,59,,southern kings
Substitution,,59,,southern kings
Substitution,,58,,southern kings
Substitution,,56,,southern kings
Substitution,,54,,southern kings
Substitution,,47,,southern kings
Substitution,,47,,southern kings
