Event,Card Colour,Time,Conversion,For
Try,,77,Converted,leinster
Substitution,,76,,leinster
Substitution,,68,,leinster
Substitution,,66,,leinster
Substitution,,66,,leinster
Substitution,,66,,leinster
Try,,64,Converted,leinster
Try,,58,Converted,leinster
Substitution,,53,,leinster
Substitution,,53,,leinster
Substitution,,53,,leinster
Try,,49,Converted,leinster
Try,,45,Converted,leinster
Try,,39,Converted,leinster
Substitution,,37,,leinster
Penalty,,31,Scored,leinster
Substitution,,26,,leinster
Try,,10,Converted,leinster
Substitution,,66,,dragons
Try,,61,Converted,dragons
Substitution,,60,,dragons
Substitution,,60,,dragons
Substitution,,51,,dragons
Substitution,,51,,dragons
Substitution,,51,,dragons
Substitution,,48,,dragons
Penalty,,43,Scored,dragons
Substitution,,41,,dragons
Substitution,,41,,dragons
Card,Yellow,40,,dragons
