Event,Card Colour,Time,Conversion,For
Try,,79,Missed,leinster
Substitution,,71,,leinster
Substitution,,70,,leinster
Substitution,,66,,leinster
Substitution,,66,,leinster
Substitution,,66,,leinster
Substitution,,66,,leinster
Try,,64,Converted,leinster
Try,,50,Converted,leinster
Substitution,,49,,leinster
Substitution,,49,,leinster
Try,,38,Missed,leinster
Substitution,,21,,leinster
Try,,16,Converted,leinster
Substitution,,72,,edinburgh
Card,Red,71,,edinburgh
Substitution,,70,,edinburgh
Substitution,,66,,edinburgh
Substitution,,66,,edinburgh
Substitution,,60,,edinburgh
Substitution,,56,,edinburgh
Substitution,,49,,edinburgh
Substitution,,49,,edinburgh
Substitution,,49,,edinburgh
Try,,45,Converted,edinburgh
