Event,Card Colour,Time,Conversion,For
Substitution,,76,,leinster
Substitution,,75,,leinster
Penalty,,70,Converted,leinster
Substitution,,70,,leinster
Substitution,,62,,leinster
Substitution,,56,,leinster
Substitution,,56,,leinster
Substitution,,47,,leinster
Try,,45,Converted,leinster
Substitution,,40,,leinster
Penalty,,40,Converted,leinster
Penalty,,33,Converted,leinster
Try,,14,Converted,leinster
Try,,10,Converted,leinster
Substitution,,74,,munster
Substitution,,74,,munster
Substitution,,74,,munster
Substitution,,70,,munster
Substitution,,70,,munster
Substitution,,70,,munster
Try,,66,Converted,munster
Penalty,,55,Converted,munster
Substitution,,53,,munster
Substitution,,47,,munster
Try,,28,Converted,munster
Try,,20,Missed,munster
Card,Yellow,10,,munster
