Event,Card Colour,Time,Conversion,For
Try,,75,Converted,leinster
Substitution,,67,,leinster
Try,,65,Converted,leinster
Substitution,,62,,leinster
Substitution,,62,,leinster
Substitution,,62,,leinster
Substitution,,59,,leinster
Try,,57,Converted,leinster
Substitution,,48,,leinster
Try,,45,Converted,leinster
Substitution,,40,,leinster
Try,,39,Converted,leinster
Try,,33,Converted,leinster
Penalty,,25,Converted,leinster
Try,,12,Converted,leinster
Try,,80,Converted,ospreys
Substitution,,64,,ospreys
Substitution,,62,,ospreys
Substitution,,60,,ospreys
Substitution,,60,,ospreys
Substitution,,60,,ospreys
Substitution,,59,,ospreys
Substitution,,47,,ospreys
Substitution,,40,,ospreys
