Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,59
Away Score,,,,,19
Try,,78,Converted,leinster
Try,,75,Converted,leinster
Try,,66,Converted,leinster
Substitution,,63,,leinster
Substitution,,59,,leinster
Try,,55,Converted,leinster
Substitution,,50,,leinster
Try,,48,Converted,leinster
Try,,37,Missed,leinster
Try,,27,Missed,leinster
Try,,24,Converted,leinster
Try,,6,Converted,leinster
Substitution,,64,,southern kings
Substitution,,61,,southern kings
Substitution,,58,,southern kings
Substitution,,50,,southern kings
Substitution,,49,,southern kings
Try,,43,Converted,southern kings
Substitution,,40,,southern kings
Substitution,,31,,southern kings
Try,,19,Converted,southern kings
Try,,13,Missed,southern kings
Substitution,,11,,southern kings
