Event,Card Colour,Time,Conversion,For
Try,,72,Converted,munster
Try,,70,Converted,munster
Substitution,,67,,munster
Try,,65,Converted,munster
Substitution,,61,,munster
Substitution,,61,,munster
Substitution,,58,,munster
Substitution,,57,,munster
Substitution,,54,,munster
Substitution,,54,,munster
Try,,52,Missed,munster
Substitution,,50,,munster
Substitution,,47,,munster
Substitution,,44,,munster
Try,,31,Converted,munster
Try,,16,Missed,munster
Substitution,,79,,cheetahs
Substitution,,69,,cheetahs
Substitution,,69,,cheetahs
Substitution,,58,,cheetahs
Substitution,,57,,cheetahs
Substitution,,57,,cheetahs
Substitution,,57,,cheetahs
Substitution,,49,,cheetahs
Substitution,,49,,cheetahs
Penalty,,46,Missed,cheetahs
Substitution,,13,,cheetahs
Penalty,,2,Missed,cheetahs
