Event,Card Colour,Time,Conversion,For
Try,,76,Missed,munster
Substitution,,65,,munster
Try,,64,Missed,munster
Substitution,,63,,munster
Substitution,,59,,munster
Substitution,,59,,munster
Substitution,,57,,munster
Substitution,,57,,munster
Substitution,,57,,munster
Substitution,,41,,munster
Try,,37,Missed,munster
Try,,34,Missed,munster
Try,,30,Missed,munster
Try,,18,Converted,munster
Try,,14,Converted,munster
Try,,4,Missed,munster
Try,,67,Converted,edinburgh
Substitution,,65,,edinburgh
Substitution,,59,,edinburgh
Substitution,,57,,edinburgh
Substitution,,45,,edinburgh
Try,,21,Converted,edinburgh
Substitution,,15,,edinburgh
