Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,25
Away Score,,,,,24
Penalty,,81,Converted,munster
Substitution,,77,,munster
Substitution,,77,,munster
Try,,72,Converted,munster
Try,,65,Missed,munster
Substitution,,61,,munster
Substitution,,60,,munster
Substitution,,57,,munster
Penalty,,55,Converted,munster
Substitution,,46,,munster
Card,Yellow,45,,munster
Substitution,,39,,munster
Try,,9,Converted,munster
Substitution,,76,,glasgow warriors
Substitution,,73,,glasgow warriors
Substitution,,73,,glasgow warriors
Substitution,,61,,glasgow warriors
Try,,59,Converted,glasgow warriors
Substitution,,51,,glasgow warriors
Try,,49,Missed,glasgow warriors
Substitution,,37,,glasgow warriors
Try,,36,Converted,glasgow warriors
Penalty,,30,Missed,glasgow warriors
Try,,25,Missed,glasgow warriors
Substitution,,22,,glasgow warriors
