Event,Card Colour,Time,Conversion,For
Substitution,,64,,munster
Substitution,,64,,munster
Try,,63,Converted,munster
Substitution,,59,,munster
Substitution,,59,,munster
Substitution,,57,,munster
Substitution,,52,,munster
Substitution,,52,,munster
Substitution,,49,,munster
Substitution,,49,,munster
Try,,45,Converted,munster
Try,,42,Converted,munster
Try,,40,Converted,munster
Try,,27,Converted,munster
Try,,21,Converted,munster
Try,,16,Converted,munster
Substitution,,74,,ospreys
Substitution,,68,,ospreys
Substitution,,68,,ospreys
Try,,60,Converted,ospreys
Substitution,,59,,ospreys
Substitution,,57,,ospreys
Substitution,,49,,ospreys
Substitution,,49,,ospreys
Card,Yellow,40,,ospreys
Penalty,,26,Scored,ospreys
Penalty,,20,Scored,ospreys
Card,Yellow,16,,ospreys
