Event,Card Colour,Time,Conversion,For
Try,,78,Converted,munster
Try,,71,Converted,munster
Try,,68,Converted,munster
Substitution,,66,,munster
Substitution,,65,,munster
Substitution,,65,,munster
Substitution,,65,,munster
Substitution,,65,,munster
Try,,63,Converted,munster
Substitution,,59,,munster
Substitution,,53,,munster
Substitution,,53,,munster
Try,,51,Converted,munster
Try,,38,Converted,munster
Try,,31,Missed,munster
Penalty,,17,Scored,munster
Try,,9,Converted,munster
Try,,6,Converted,munster
Substitution,,75,,ulster
Card,Yellow,69,,ulster
Substitution,,66,,ulster
Substitution,,65,,ulster
Try,,47,Converted,ulster
Substitution,,41,,ulster
Substitution,,41,,ulster
Substitution,,34,,ulster
Substitution,,21,,ulster
