Event,Card Colour,Time,Conversion,For
Try,,77,Missed,ospreys
Try,,73,Missed,ospreys
Try,,64,Missed,ospreys
Substitution,,62,,ospreys
Substitution,,60,,ospreys
Try,,60,Converted,ospreys
Substitution,,57,,ospreys
Substitution,,57,,ospreys
Substitution,,48,,ospreys
Penalty,,40,Converted,ospreys
Try,,37,Missed,ospreys
Substitution,,30,,ospreys
Try,,28,Converted,ospreys
Substitution,,19,,ospreys
Try,,8,Converted,ospreys
Try,,70,Converted,cheetahs
Substitution,,64,,cheetahs
Substitution,,48,,cheetahs
Substitution,,48,,cheetahs
Substitution,,48,,cheetahs
Substitution,,48,,cheetahs
Substitution,,48,,cheetahs
Try,,18,Converted,cheetahs
