Event,Card Colour,Time,Conversion,For
Substitution,,77,,ospreys
Substitution,,71,,ospreys
Try,,67,Converted,ospreys
Substitution,,62,,ospreys
Substitution,,60,,ospreys
Substitution,,60,,ospreys
Try,,58,Converted,ospreys
Substitution,,56,,ospreys
Penalty,,40,Missed,ospreys
Substitution,,38,,ospreys
Penalty,,33,Converted,ospreys
Penalty,,6,Missed,ospreys
Try,,75,Converted,edinburgh
Substitution,,71,,edinburgh
Substitution,,71,,edinburgh
Substitution,,71,,edinburgh
Substitution,,69,,edinburgh
Substitution,,60,,edinburgh
Substitution,,56,,edinburgh
Substitution,,56,,edinburgh
Penalty,,55,Converted,edinburgh
Substitution,,45,,edinburgh
Penalty,,31,Converted,edinburgh
