Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,20
Away Score,,,,,29
Try,,74,Converted,ospreys
Substitution,,69,,ospreys
Substitution,,69,,ospreys
Substitution,,62,,ospreys
Substitution,,60,,ospreys
Substitution,,57,,ospreys
Substitution,,57,,ospreys
Substitution,,51,,ospreys
Penalty,,46,Converted,ospreys
Substitution,,41,,ospreys
Penalty,,40,Missed,ospreys
Penalty,,26,Converted,ospreys
Try,,6,Converted,ospreys
Substitution,,76,,glasgow warriors
Substitution,,69,,glasgow warriors
Substitution,,69,,glasgow warriors
Substitution,,66,,glasgow warriors
Substitution,,62,,glasgow warriors
Try,,58,Converted,glasgow warriors
Try,,49,Missed,glasgow warriors
Substitution,,48,,glasgow warriors
Substitution,,35,,glasgow warriors
Try,,14,Converted,glasgow warriors
Try,,11,Converted,glasgow warriors
Substitution,,4,,glasgow warriors
Penalty,,3,Converted,glasgow warriors
