Event,Card Colour,Time,Conversion,For
Try,,83,Converted,ospreys
Try,,78,Converted,ospreys
Substitution,,76,,ospreys
Substitution,,73,,ospreys
Try,,69,Converted,ospreys
Substitution,,63,,ospreys
Substitution,,63,,ospreys
Try,,55,Converted,ospreys
Substitution,,53,,ospreys
Penalty,,37,Converted,ospreys
Try,,33,Missed,ospreys
Try,,23,Missed,ospreys
Card,Yellow,83,,zebre
Substitution,,59,,zebre
Substitution,,59,,zebre
Substitution,,53,,zebre
Substitution,,50,,zebre
Substitution,,50,,zebre
Substitution,,50,,zebre
Substitution,,44,,zebre
Substitution,,41,,zebre
Card,Yellow,39,,zebre
Substitution,,29,,zebre
Substitution,,27,,zebre
Substitution,,19,,zebre
Penalty,,2,Missed,zebre
