Event,Card Colour,Time,Conversion,For
Try,,80,Converted,scarlets
Substitution,,69,,scarlets
Substitution,,66,,scarlets
Try,,63,Converted,scarlets
Substitution,,62,,scarlets
Substitution,,62,,scarlets
Try,,59,Converted,scarlets
Substitution,,52,,scarlets
Substitution,,47,,scarlets
Try,,34,Missed,scarlets
Substitution,,17,,scarlets
Try,,12,Missed,scarlets
Try,,5,Converted,scarlets
Penalty,,69,Scored,benetton
Substitution,,62,,benetton
Substitution,,62,,benetton
Substitution,,54,,benetton
Substitution,,54,,benetton
Substitution,,52,,benetton
Card,Yellow,49,,benetton
Try,,45,Converted,benetton
Try,,42,Missed,benetton
Substitution,,34,,benetton
Penalty,,29,Missed,benetton
Card,Red,26,,benetton
Substitution,,19,,benetton
Try,,16,Converted,benetton
Try,,9,Converted,benetton
Substitution,,6,,benetton
