Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,5
Away Score,,,,,34
Substitution,,51,,scarlets
Substitution,,40,,scarlets
Substitution,,35,,scarlets
Try,,13,Missed,scarlets
Try,,79,Converted,cardiff blues
Try,,77,Converted,cardiff blues
Penalty,,72,Converted,cardiff blues
Try,,63,Converted,cardiff blues
Substitution,,62,,cardiff blues
Substitution,,62,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,51,,cardiff blues
Try,,9,Converted,cardiff blues
Penalty,,7,Converted,cardiff blues
