Event,Card Colour,Time,Conversion,For
Substitution,,71,,scarlets
Substitution,,71,,scarlets
Try,,69,Converted,scarlets
Substitution,,66,,scarlets
Substitution,,64,,scarlets
Penalty,,64,Converted,scarlets
Penalty,,51,Converted,scarlets
Substitution,,46,,scarlets
Substitution,,38,,scarlets
Card,Yellow,38,,scarlets
Substitution,,38,,scarlets
Penalty,,36,Converted,scarlets
Substitution,,26,,scarlets
Substitution,,13,,scarlets
Try,,12,Converted,scarlets
Substitution,,77,,leinster
Try,,75,Converted,leinster
Substitution,,66,,leinster
Substitution,,64,,leinster
Substitution,,61,,leinster
Substitution,,60,,leinster
Substitution,,54,,leinster
Substitution,,54,,leinster
Substitution,,54,,leinster
Penalty,,54,Missed,leinster
Try,,39,Converted,leinster
Try,,24,Converted,leinster
Penalty,,16,Missed,leinster
Card,Yellow,5,,leinster
