Event,Card Colour,Time,Conversion,For
Try,,80,Converted,scarlets
Try,,73,Converted,scarlets
Try,,66,Missed,scarlets
Substitution,,63,,scarlets
Substitution,,63,,scarlets
Substitution,,61,,scarlets
Substitution,,61,,scarlets
Substitution,,61,,scarlets
Try,,59,Converted,scarlets
Try,,43,Converted,scarlets
Try,,24,Converted,scarlets
Try,,15,Converted,scarlets
Try,,9,Converted,scarlets
Card,Yellow,77,,southern kings
Substitution,,68,,southern kings
Substitution,,68,,southern kings
Substitution,,47,,southern kings
Substitution,,45,,southern kings
Substitution,,35,,southern kings
Try,,33,Converted,southern kings
Try,,20,Converted,southern kings
