Event,Card Colour,Time,Conversion,For
Substitution,,75,,scarlets
Substitution,,69,,scarlets
Substitution,,69,,scarlets
Substitution,,64,,scarlets
Try,,61,Converted,scarlets
Substitution,,56,,scarlets
Try,,39,Missed,scarlets
Try,,36,Converted,scarlets
Substitution,,28,,scarlets
Try,,26,Converted,scarlets
Penalty,,19,Converted,scarlets
Substitution,,76,,ulster
Try,,65,Missed,ulster
Substitution,,65,,ulster
Substitution,,63,,ulster
Substitution,,63,,ulster
Substitution,,63,,ulster
Substitution,,56,,ulster
Substitution,,55,,ulster
Substitution,,49,,ulster
Substitution,,49,,ulster
Try,,14,Converted,ulster
