Event,Card Colour,Time,Conversion,For
Substitution,,63,,southern kings
Substitution,,63,,southern kings
Substitution,,58,,southern kings
Substitution,,57,,southern kings
Substitution,,57,,southern kings
Substitution,,55,,southern kings
Substitution,,54,,southern kings
Try,,50,Converted,southern kings
Substitution,,45,,southern kings
Substitution,,41,,southern kings
Substitution,,41,,southern kings
Substitution,,35,,southern kings
Card,Yellow,34,,southern kings
Try,,27,Converted,southern kings
Substitution,,70,,connacht
Substitution,,63,,connacht
Try,,61,Converted,connacht
Substitution,,58,,connacht
Substitution,,58,,connacht
Substitution,,56,,connacht
Substitution,,52,,connacht
Substitution,,47,,connacht
Substitution,,41,,connacht
Try,,39,Converted,connacht
Try,,36,Converted,connacht
Try,,10,Converted,connacht
Penalty,,4,Converted,connacht
