Event,Card Colour,Time,Conversion,For
Card,Yellow,79,,southern kings
Substitution,,75,,southern kings
Try,,71,Converted,southern kings
Substitution,,66,,southern kings
Substitution,,65,,southern kings
Substitution,,61,,southern kings
Substitution,,61,,southern kings
Card,Yellow,55,,southern kings
Try,,52,Converted,southern kings
Substitution,,50,,southern kings
Substitution,,50,,southern kings
Substitution,,45,,southern kings
Substitution,,41,,southern kings
Penalty,,40,Scored,southern kings
Substitution,,36,,southern kings
Card,Yellow,27,,southern kings
Try,,18,Converted,southern kings
Try,,9,Converted,southern kings
Try,,5,Converted,southern kings
Penalty,,3,Missed,southern kings
Try,,80,Converted,glasgow warriors
Try,,76,Converted,glasgow warriors
Substitution,,74,,glasgow warriors
Substitution,,74,,glasgow warriors
Try,,63,Converted,glasgow warriors
Try,,59,Converted,glasgow warriors
Substitution,,54,,glasgow warriors
Substitution,,50,,glasgow warriors
Substitution,,42,,glasgow warriors
Substitution,,42,,glasgow warriors
Substitution,,33,,glasgow warriors
Substitution,,33,,glasgow warriors
