Event,Card Colour,Time,Conversion,For
Try,,79,Converted,southern kings
Card,Yellow,75,,southern kings
Substitution,,74,,southern kings
Try,,72,Missed,southern kings
Substitution,,66,,southern kings
Substitution,,62,,southern kings
Substitution,,57,,southern kings
Substitution,,55,,southern kings
Substitution,,49,,southern kings
Substitution,,49,,southern kings
Substitution,,47,,southern kings
Try,,42,Converted,southern kings
Substitution,,41,,southern kings
Card,Yellow,39,,southern kings
Try,,32,Converted,southern kings
Substitution,,31,,southern kings
Card,Yellow,29,,southern kings
Substitution,,28,,southern kings
Card,Yellow,24,,southern kings
Substitution,,20,,southern kings
Try,,2,Missed,southern kings
Substitution,,66,,leinster
Substitution,,66,,leinster
Substitution,,65,,leinster
Try,,63,Missed,leinster
Substitution,,62,,leinster
Substitution,,53,,leinster
Substitution,,53,,leinster
Substitution,,44,,leinster
Try,,40,Converted,leinster
Try,,37,Converted,leinster
Try,,35,Converted,leinster
Substitution,,34,,leinster
Substitution,,29,,leinster
Try,,24,Converted,leinster
Try,,15,Missed,leinster
