Event,Card Colour,Time,Conversion,For
Card,Yellow,76,,southern kings
Substitution,,66,,southern kings
Substitution,,66,,southern kings
Substitution,,66,,southern kings
Substitution,,64,,southern kings
Substitution,,60,,southern kings
Substitution,,60,,southern kings
Substitution,,60,,southern kings
Try,,54,Converted,southern kings
Try,,48,Converted,southern kings
Substitution,,43,,southern kings
Penalty,,33,Scored,southern kings
Try,,21,Converted,southern kings
Penalty,,12,Scored,southern kings
Try,,1,Converted,southern kings
Try,,77,Missed,scarlets
Substitution,,74,,scarlets
Substitution,,74,,scarlets
Try,,72,Converted,scarlets
Substitution,,66,,scarlets
Substitution,,66,,scarlets
Substitution,,64,,scarlets
Substitution,,64,,scarlets
Try,,62,Converted,scarlets
Substitution,,60,,scarlets
Substitution,,43,,scarlets
Try,,41,Converted,scarlets
Try,,39,Missed,scarlets
Try,,27,Converted,scarlets
Penalty,,16,Scored,scarlets
