Event,Card Colour,Time,Conversion,For
Substitution,,72,,southern kings
Substitution,,72,,southern kings
Substitution,,62,,southern kings
Substitution,,62,,southern kings
Substitution,,62,,southern kings
Substitution,,50,,southern kings
Substitution,,48,,southern kings
Try,,42,Converted,southern kings
Card,Yellow,19,,southern kings
Try,,80,Converted,ulster
Substitution,,68,,ulster
Substitution,,68,,ulster
Try,,66,Missed,ulster
Try,,60,Converted,ulster
Substitution,,56,,ulster
Substitution,,48,,ulster
Substitution,,45,,ulster
Card,Yellow,39,,ulster
Substitution,,32,,ulster
Penalty,,26,Converted,ulster
Card,Yellow,22,,ulster
Penalty,,9,Converted,ulster
Penalty,,4,Converted,ulster
