Event,Card Colour,Time,Conversion,For
Penalty,,66,Converted,ulster
Penalty,,57,Converted,ulster
Substitution,,50,,ulster
Substitution,,45,,ulster
Substitution,,43,,ulster
Substitution,,42,,ulster
Substitution,,35,,ulster
Try,,13,Converted,ulster
Penalty,,2,Converted,ulster
Substitution,,71,,cardiff blues
Substitution,,58,,cardiff blues
Card,Yellow,54,,cardiff blues
Substitution,,53,,cardiff blues
Substitution,,51,,cardiff blues
Substitution,,51,,cardiff blues
Substitution,,40,,cardiff blues
Try,,20,Converted,cardiff blues
Try,,10,Missed,cardiff blues
