Event,Card Colour,Time,Conversion,For
Try,,80,Converted,ulster
Substitution,,66,,ulster
Substitution,,66,,ulster
Substitution,,65,,ulster
Substitution,,65,,ulster
Substitution,,65,,ulster
Substitution,,55,,ulster
Penalty,,52,Converted,ulster
Penalty,,50,Missed,ulster
Substitution,,42,,ulster
Card,Red,41,,ulster
Card,Yellow,40,,ulster
Try,,24,Missed,ulster
Try,,72,Missed,connacht
Substitution,,70,,connacht
Substitution,,70,,connacht
Penalty,,67,Converted,connacht
Substitution,,58,,connacht
Substitution,,58,,connacht
Substitution,,53,,connacht
Substitution,,41,,connacht
Try,,20,Missed,connacht
Try,,6,Converted,connacht
Substitution,,6,,connacht
Substitution,,2,,connacht
