Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,30
Away Score,,,,,29
Penalty,,80,Converted,ulster
Try,,68,Converted,ulster
Try,,61,Converted,ulster
Substitution,,60,,ulster
Try,,54,Converted,ulster
Substitution,,49,,ulster
Substitution,,49,,ulster
Substitution,,49,,ulster
Penalty,,26,Converted,ulster
Penalty,,21,Converted,ulster
Penalty,,79,Converted,edinburgh
Substitution,,75,,edinburgh
Substitution,,70,,edinburgh
Substitution,,65,,edinburgh
Penalty,,58,Converted,edinburgh
Substitution,,58,,edinburgh
Substitution,,56,,edinburgh
Try,,45,Converted,edinburgh
Substitution,,40,,edinburgh
Penalty,,23,Converted,edinburgh
Substitution,,20,,edinburgh
Try,,15,Converted,edinburgh
Penalty,,10,Converted,edinburgh
Penalty,,3,Converted,edinburgh
