Event,Card Colour,Time,Conversion,For
Penalty,,79,Scored,ulster
Penalty,,77,Missed,ulster
Substitution,,64,,ulster
Penalty,,58,Scored,ulster
Substitution,,56,,ulster
Substitution,,56,,ulster
Substitution,,56,,ulster
Substitution,,56,,ulster
Penalty,,40,Missed,ulster
Penalty,,25,Scored,ulster
Substitution,,18,,ulster
Penalty,,16,Scored,ulster
Penalty,,12,Scored,ulster
Card,Yellow,79,,scarlets
Substitution,,76,,scarlets
Substitution,,72,,scarlets
Card,Yellow,67,,scarlets
Substitution,,65,,scarlets
Substitution,,61,,scarlets
Penalty,,61,Scored,scarlets
Substitution,,59,,scarlets
Substitution,,58,,scarlets
Penalty,,54,Scored,scarlets
Substitution,,48,,scarlets
Try,,6,Converted,scarlets
