Event,Card Colour,Time,Conversion,For
Try,,78,Missed,zebre
Try,,71,Converted,zebre
Substitution,,67,,zebre
Try,,64,Converted,zebre
Substitution,,61,,zebre
Substitution,,61,,zebre
Substitution,,52,,zebre
Substitution,,51,,zebre
Substitution,,51,,zebre
Substitution,,41,,zebre
Substitution,,22,,zebre
Try,,14,Converted,zebre
Substitution,,74,,cardiff blues
Substitution,,65,,cardiff blues
Substitution,,65,,cardiff blues
Substitution,,62,,cardiff blues
Substitution,,56,,cardiff blues
Substitution,,56,,cardiff blues
Substitution,,53,,cardiff blues
Penalty,,53,Converted,cardiff blues
Substitution,,52,,cardiff blues
Penalty,,50,Missed,cardiff blues
Try,,10,Converted,cardiff blues
Try,,4,Converted,cardiff blues
Try,,2,Converted,cardiff blues
