Event,Card Colour,Time,Conversion,For
Try,,83,Converted,zebre
Substitution,,74,,zebre
Try,,73,Converted,zebre
Substitution,,72,,zebre
Substitution,,60,,zebre
Substitution,,57,,zebre
Try,,56,Converted,zebre
Penalty,,51,Scored,zebre
Try,,42,Converted,zebre
Penalty,,39,Scored,zebre
Substitution,,78,,edinburgh
Substitution,,77,,edinburgh
Substitution,,72,,edinburgh
Substitution,,67,,edinburgh
Substitution,,67,,edinburgh
Substitution,,66,,edinburgh
Substitution,,66,,edinburgh
Penalty,,46,Scored,edinburgh
Penalty,,37,Missed,edinburgh
Penalty,,29,Scored,edinburgh
Try,,22,Converted,edinburgh
Penalty,,7,Scored,edinburgh
