Event,Card Colour,Time,Conversion,For
Try,,70,Missed,zebre
Substitution,,62,,zebre
Substitution,,62,,zebre
Substitution,,62,,zebre
Substitution,,45,,zebre
Penalty,,35,Converted,zebre
Substitution,,74,,ospreys
Penalty,,74,Converted,ospreys
Substitution,,72,,ospreys
Substitution,,64,,ospreys
Substitution,,64,,ospreys
Substitution,,60,,ospreys
Substitution,,50,,ospreys
Penalty,,50,Converted,ospreys
Penalty,,40,Converted,ospreys
Penalty,,30,Converted,ospreys
Try,,13,Converted,ospreys
Penalty,,5,Converted,ospreys
