Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,32
Away Score,,,,,16
Try,,80,Missed,zebre
Substitution,,74,,zebre
Substitution,,73,,zebre
Penalty,,67,Converted,zebre
Substitution,,60,,zebre
Try,,55,Converted,zebre
Substitution,,48,,zebre
Substitution,,48,,zebre
Try,,36,Converted,zebre
Substitution,,18,,zebre
Penalty,,15,Converted,zebre
Try,,5,Converted,zebre
Card,Yellow,79,,southern kings
Substitution,,73,,southern kings
Substitution,,73,,southern kings
Card,Yellow,69,,southern kings
Substitution,,63,,southern kings
Penalty,,60,Converted,southern kings
Substitution,,56,,southern kings
Substitution,,56,,southern kings
Substitution,,56,,southern kings
Penalty,,53,Converted,southern kings
Substitution,,52,,southern kings
Penalty,,50,Converted,southern kings
Substitution,,45,,southern kings
Try,,17,Converted,southern kings
